                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.1904,                 0.9236,                 1.3297,                0.48879,                0.67846,                0.47844,                0.19255,                 2.1102,                 1.6893,                 1.9772,             0.00073296,             0.00073296,             0.00073296
                    125,                 1.1314,                 0.9012,                 1.3055,                0.53897,                0.49479,                0.51401,                0.22318,                 2.0067,                  1.854,                 1.8492,              0.0007273,              0.0007273,              0.0007273
                    126,                 1.0933,                0.84665,                   1.27,                0.58124,                0.50655,                0.56447,                0.23964,                 2.0003,                 1.9404,                  1.836,             0.00072164,             0.00072164,             0.00072164
                    127,                 1.1258,                0.85072,                 1.2979,                0.56796,                0.56001,                  0.573,                0.27044,                 1.9601,                 1.6895,                 1.7664,             0.00071599,             0.00071599,             0.00071599
                    128,                 1.1041,                0.85584,                 1.2763,                0.51653,                0.59345,                0.56142,                0.24374,                 1.9752,                 1.6412,                 1.7668,             0.00071033,             0.00071033,             0.00071033
                    129,                 1.0914,                0.83391,                 1.2641,                0.63403,                0.53135,                0.59399,                 0.2601,                 1.9622,                 1.6854,                 1.7487,             0.00070467,             0.00070467,             0.00070467
                    130,                  1.144,                0.86098,                  1.302,                0.51794,                0.52875,                0.53403,                0.20992,                 2.0631,                 1.8508,                 1.8281,             0.00069901,             0.00069901,             0.00069901
                    131,                 1.0998,                0.82591,                 1.2678,                0.60032,                0.62771,                0.66637,                0.31432,                 1.9426,                 1.5411,                 1.7623,             0.00069335,             0.00069335,             0.00069335
                    132,                 1.0744,                0.81377,                  1.265,                0.67725,                0.56127,                0.68518,                0.29823,                  1.923,                 1.5419,                 1.7918,             0.00068769,             0.00068769,             0.00068769
                    133,                 1.0902,                0.82083,                 1.2733,                0.60216,                0.59546,                0.63466,                 0.2957,                 1.8915,                 1.5059,                 1.7248,             0.00068203,             0.00068203,             0.00068203
                    134,                 1.0864,                0.79522,                 1.2544,                0.53882,                0.58897,                0.55813,                0.24157,                 1.9164,                 1.7068,                 1.8058,             0.00067637,             0.00067637,             0.00067637
                    135,                 1.0776,                0.80075,                 1.2641,                0.58997,                0.55442,                0.62087,                0.26159,                 1.9663,                  1.614,                 1.8489,             0.00067072,             0.00067072,             0.00067072
                    136,                 1.0919,                0.84055,                 1.2827,                0.62249,                 0.5672,                0.61651,                0.26528,                  2.084,                 1.5719,                 1.9063,             0.00066506,             0.00066506,             0.00066506
                    137,                 1.0783,                0.81691,                 1.2655,                0.51608,                0.57334,                0.59212,                0.28199,                  2.024,                 1.5566,                 1.8522,              0.0006594,              0.0006594,              0.0006594
                    138,                 1.0569,                0.76785,                 1.2232,                 0.5111,                0.61742,                0.56406,                0.25052,                 2.0421,                 1.6062,                 1.8688,             0.00065374,             0.00065374,             0.00065374
                    139,                 1.0607,                0.76912,                  1.241,                0.61933,                0.56553,                0.60704,                0.28032,                 1.9762,                 1.5623,                 1.8408,             0.00064808,             0.00064808,             0.00064808
                    140,                   1.08,                0.81418,                 1.2646,                0.54801,                0.55828,                0.53114,                0.21504,                 2.0683,                 1.9447,                 1.8776,             0.00064242,             0.00064242,             0.00064242
                    141,                 1.0828,                0.82087,                 1.2565,                0.72716,                 0.5204,                0.59464,                0.26196,                 2.0891,                 1.5632,                 1.8832,             0.00063676,             0.00063676,             0.00063676
                    142,                  1.052,                0.79801,                  1.246,                0.64316,                 0.4944,                0.56642,                 0.2459,                   2.08,                 1.6013,                 1.8641,              0.0006311,              0.0006311,              0.0006311
                    143,                 1.0031,                0.75153,                 1.1994,                0.54151,                0.57442,                0.57382,                0.25883,                 2.0615,                 1.6279,                 1.9041,             0.00062544,             0.00062544,             0.00062544
                    144,                 1.0474,                0.76107,                 1.2496,                  0.669,                0.45196,                0.54934,                0.23016,                 2.0779,                 1.9069,                 1.8684,             0.00061979,             0.00061979,             0.00061979
                    145,                 1.0379,                 0.7274,                  1.213,                0.57399,                0.58466,                0.60388,                0.24869,                 2.0105,                 1.6859,                 1.8352,             0.00061413,             0.00061413,             0.00061413
                    146,                 1.0115,                0.74459,                 1.2295,                0.63963,                0.52886,                0.59569,                0.27391,                 1.9798,                 1.6263,                 1.8588,             0.00060847,             0.00060847,             0.00060847
                    147,                 1.0334,                0.76672,                 1.2585,                0.59197,                0.57791,                0.60432,                0.29136,                 2.0266,                 1.5033,                  1.902,             0.00060281,             0.00060281,             0.00060281
